               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,             0.05593,            0.015517,            0.014993,              0.4597,              0.6483,             0.53248,              0.1034,            0.045733,           0.0082175,           0.0084979,           0.0024575,           0.0024575,            0.076158
                  88,            0.056288,            0.013705,            0.014796,             0.60191,             0.89814,             0.64987,             0.10418,            0.046522,           0.0079081,           0.0086578,           0.0024816,           0.0024816,            0.075882
                  89,            0.060046,            0.014355,            0.013308,             0.61486,               0.775,             0.81853,              0.3951,             0.04637,           0.0079392,           0.0085659,           0.0025056,           0.0025056,            0.075606
                  90,            0.059035,            0.013808,            0.015118,             0.60843,             0.92496,             0.90063,             0.36684,            0.034074,            0.007866,           0.0087385,           0.0025295,           0.0025295,            0.075329
                  91,            0.050617,            0.013602,            0.012385,             0.70429,               0.725,             0.83819,              0.3219,            0.048318,           0.0075539,           0.0087065,           0.0025532,           0.0025532,            0.075053
                  92,             0.05311,            0.014975,            0.013355,             0.88068,             0.79957,             0.89578,             0.40218,            0.038375,           0.0075926,           0.0085803,           0.0025767,           0.0025767,            0.074777
                  93,            0.059362,            0.014505,             0.01262,             0.61323,             0.64212,             0.65878,              0.1235,            0.052193,           0.0075435,           0.0078897,           0.0026002,           0.0026002,              0.0745
                  94,             0.06375,             0.01212,            0.013518,             0.74621,             0.78834,              0.8398,             0.21978,            0.044786,             0.00775,           0.0077702,           0.0026235,           0.0026235,            0.074224
                  95,            0.053537,            0.014144,            0.015026,             0.88503,             0.91782,             0.95404,             0.48284,            0.033903,           0.0077091,           0.0078214,           0.0026467,           0.0026467,            0.073947
                  96,            0.045379,            0.012856,            0.011805,             0.75112,               0.825,             0.86163,              0.4332,            0.033358,           0.0072494,            0.007857,           0.0026697,           0.0026697,             0.07367
                  97,            0.051012,            0.015934,            0.016252,             0.71447,             0.80176,             0.74098,             0.27095,            0.040014,            0.007199,           0.0080513,           0.0026926,           0.0026926,            0.073393
                  98,            0.054969,              0.0128,            0.011232,             0.90582,               0.825,             0.88195,             0.27443,            0.038693,             0.00754,           0.0078203,           0.0027154,           0.0027154,            0.073115
                  99,            0.049416,            0.013479,            0.015158,             0.84927,                 0.9,             0.91076,             0.62031,            0.041869,           0.0075328,            0.007943,            0.002738,            0.002738,            0.072838
                 100,            0.042088,            0.016098,            0.014051,             0.94739,             0.92443,             0.96087,             0.30733,            0.033497,           0.0075474,           0.0075834,           0.0027605,           0.0027605,             0.07256
                 101,            0.053784,            0.013917,            0.015275,             0.70869,             0.89069,             0.89817,             0.25398,            0.045423,           0.0072284,           0.0074952,           0.0027828,           0.0027828,            0.072283
                 102,            0.055813,             0.01148,            0.015897,             0.80835,             0.91759,             0.91162,             0.57424,            0.034729,           0.0068863,           0.0076762,            0.002805,            0.002805,            0.072005
                 103,            0.052639,            0.012969,             0.01304,             0.73925,             0.77445,             0.82644,             0.27348,            0.046945,           0.0069074,           0.0078852,            0.002827,            0.002827,            0.071727
                 104,            0.057213,            0.011161,            0.012824,             0.73564,              0.7741,              0.8255,             0.42142,            0.042172,           0.0067995,           0.0075914,           0.0028489,           0.0028489,            0.071449
                 105,            0.052833,            0.012105,            0.011187,             0.65666,                0.75,             0.76919,              0.1457,            0.042554,             0.00699,           0.0075844,           0.0028707,           0.0028707,            0.071171
                 106,            0.050671,            0.013342,            0.011103,             0.48571,                0.95,               0.586,             0.12327,            0.036293,           0.0071246,           0.0073392,           0.0028923,           0.0028923,            0.070892
                 107,            0.055009,             0.01261,            0.011728,              0.5757,                0.75,             0.77499,             0.19546,            0.046856,           0.0068799,           0.0073008,           0.0029137,           0.0029137,            0.070614
                 108,            0.051563,            0.013814,            0.012548,             0.95243,             0.84818,             0.98054,             0.47875,            0.031188,           0.0070151,           0.0087415,            0.002935,            0.002935,            0.070335
                 109,            0.056385,            0.012991,            0.014326,             0.65941,             0.72334,             0.69243,             0.17006,             0.05254,           0.0069295,           0.0072153,           0.0029562,           0.0029562,            0.070056
                 110,            0.064438,             0.01259,            0.017776,              0.6877,             0.92419,              0.8898,             0.45349,              0.0427,           0.0069999,           0.0070403,           0.0029771,           0.0029771,            0.069777
                 111,            0.051489,             0.01187,             0.01129,             0.97293,                 0.9,             0.95787,             0.57405,            0.038586,           0.0071012,           0.0071264,            0.002998,            0.002998,            0.069498
                 112,            0.044897,            0.013765,            0.014032,             0.71683,             0.89977,             0.86836,             0.48023,            0.032111,           0.0070158,           0.0079981,           0.0030187,           0.0030187,            0.069219
                 113,            0.047422,            0.012661,            0.009483,             0.56827,                 0.8,             0.83403,              0.3172,            0.043322,           0.0070535,           0.0086321,           0.0030392,           0.0030392,            0.068939
                 114,            0.047594,            0.011547,            0.011501,             0.64513,               0.975,             0.96279,             0.55119,            0.034828,           0.0070331,           0.0087827,           0.0030596,           0.0030596,             0.06866
                 115,            0.048815,            0.011912,            0.011231,              0.5634,                0.85,             0.83462,             0.17904,            0.041871,           0.0072343,           0.0085027,           0.0030798,           0.0030798,             0.06838
                 116,            0.059935,            0.011723,            0.011493,             0.90676,             0.77199,             0.92493,             0.47954,            0.029468,           0.0070607,           0.0072209,           0.0030999,           0.0030999,              0.0681
                 117,            0.046798,             0.01314,            0.011107,             0.62028,             0.85726,             0.75182,             0.25127,            0.039336,           0.0072152,           0.0066736,           0.0031198,           0.0031198,             0.06782
                 118,            0.050586,             0.01093,            0.011745,             0.70833,                0.95,             0.86277,             0.42789,            0.036034,           0.0071164,           0.0065749,           0.0031395,           0.0031395,            0.067539
                 119,            0.050297,            0.013967,            0.010578,             0.90904,             0.74504,             0.91523,             0.31823,            0.040498,           0.0072898,           0.0065446,           0.0031591,           0.0031591,            0.067259
                 120,            0.050231,            0.010402,            0.011075,             0.96182,                 0.9,             0.96204,             0.46893,            0.036503,           0.0072084,           0.0065523,           0.0031785,           0.0031785,            0.066978
                 121,            0.050866,            0.011616,            0.010881,              0.7552,               0.975,             0.88965,             0.45547,            0.036287,           0.0072216,           0.0064321,           0.0031977,           0.0031977,            0.066698
                 122,            0.049022,            0.012236,            0.012484,               0.802,             0.90873,             0.93469,              0.5575,            0.034296,           0.0069093,            0.006292,           0.0032168,           0.0032168,            0.066417
                 123,            0.050652,            0.011165,            0.017635,             0.69285,             0.71367,             0.69894,             0.18229,            0.043166,           0.0065983,            0.006576,           0.0032358,           0.0032358,            0.066136
                 124,            0.053342,           0.0098347,            0.018132,             0.46718,               0.775,             0.70869,             0.15187,            0.037339,           0.0065117,            0.010928,           0.0032545,           0.0032545,            0.065855
                 125,            0.054071,            0.012806,            0.013174,             0.36953,                 0.8,             0.69983,             0.31844,            0.042708,            0.006835,            0.017143,           0.0032731,           0.0032731,            0.065573
                 126,            0.053816,            0.012464,            0.012757,             0.56923,             0.77069,             0.85305,             0.36773,            0.029548,           0.0065185,            0.019083,           0.0032915,           0.0032915,            0.065292
                 127,            0.044644,            0.012776,            0.016442,              0.7573,             0.67193,             0.79408,             0.38199,             0.03856,           0.0066187,            0.011277,           0.0033098,           0.0033098,             0.06501
                 128,            0.043593,            0.010209,            0.015814,             0.97512,             0.85476,             0.98515,             0.39154,            0.034012,           0.0066163,            0.010529,           0.0033279,           0.0033279,            0.064728
                 129,            0.048751,            0.013009,            0.012045,             0.75534,             0.74807,             0.85957,             0.46159,            0.043127,           0.0065248,           0.0085568,           0.0033458,           0.0033458,            0.064446
                 130,            0.054358,            0.011504,            0.013442,             0.75637,             0.98782,             0.91164,             0.66744,            0.030805,           0.0067595,           0.0083673,           0.0033635,           0.0033635,            0.064164
                 131,            0.043564,             0.01229,             0.01193,             0.56302,              0.9484,              0.8653,             0.42896,            0.038425,           0.0071014,           0.0060764,           0.0033811,           0.0033811,            0.063881
                 132,            0.038377,            0.012486,            0.010801,             0.95889,               0.975,             0.98852,             0.54112,             0.02762,           0.0069577,           0.0061339,           0.0033985,           0.0033985,            0.063599
                 133,            0.045415,            0.012653,            0.010211,             0.50116,               0.925,             0.69381,             0.12808,             0.04391,           0.0070723,           0.0064403,           0.0034158,           0.0034158,            0.063316
                 134,            0.053432,            0.013272,            0.012219,             0.67289,               0.775,             0.86076,             0.26337,            0.037021,           0.0067507,            0.005791,           0.0034328,           0.0034328,            0.063033
                 135,            0.047811,            0.012162,            0.011522,             0.94442,               0.675,             0.88914,             0.54024,            0.038056,           0.0067417,            0.005838,           0.0034497,           0.0034497,             0.06275
                 136,            0.049792,            0.011288,           0.0096029,             0.83105,             0.93639,             0.93267,             0.58359,            0.029007,            0.006986,            0.006028,           0.0034664,           0.0034664,            0.062466
                 137,            0.047214,            0.012607,            0.010218,             0.73344,               0.975,             0.89927,             0.37185,            0.036708,           0.0067348,           0.0060116,           0.0034829,           0.0034829,            0.062183
                 138,            0.051195,            0.011329,            0.010112,              0.9701,               0.975,             0.96804,             0.59608,            0.032996,           0.0066699,           0.0061078,           0.0034993,           0.0034993,            0.061899
                 139,            0.051243,            0.010405,           0.0093335,             0.74874,                0.95,             0.85313,             0.36526,            0.044191,           0.0065501,           0.0060451,           0.0035155,           0.0035155,            0.061615
                 140,            0.058047,            0.011392,             0.01093,             0.80899,                0.95,             0.90235,             0.55807,            0.033922,           0.0062789,           0.0060879,           0.0035315,           0.0035315,            0.061331
                 141,            0.045484,            0.010957,            0.010347,             0.60523,                0.95,             0.87241,             0.50181,            0.036293,           0.0062649,            0.006232,           0.0035473,           0.0035473,            0.061047
                 142,             0.04189,            0.011774,           0.0094151,             0.69574,             0.92387,             0.89557,             0.52855,            0.029091,           0.0061038,           0.0064366,           0.0035629,           0.0035629,            0.060763
                 143,            0.046277,            0.010957,            0.011266,             0.91665,             0.69319,             0.91666,             0.35061,            0.034055,           0.0061134,           0.0078018,           0.0035784,           0.0035784,            0.060478
                 144,            0.040658,            0.010753,            0.011805,             0.95459,             0.96222,              0.9659,             0.74953,            0.027653,           0.0060345,           0.0073368,           0.0035937,           0.0035937,            0.060194
                 145,            0.042275,           0.0088537,            0.011004,             0.55129,               0.725,             0.69814,             0.18307,            0.038578,            0.006067,           0.0066699,           0.0036088,           0.0036088,            0.059909
                 146,            0.045759,            0.010757,           0.0094024,             0.79422,               0.975,             0.94118,             0.49683,            0.027726,           0.0057861,           0.0065331,           0.0036237,           0.0036237,            0.059624
                 147,            0.038426,            0.010505,           0.0098662,             0.74956,               0.925,             0.94314,             0.61146,            0.030958,           0.0057307,           0.0067646,           0.0036384,           0.0036384,            0.059338
                 148,             0.03812,            0.011018,            0.013052,              0.9225,                0.95,              0.9596,             0.45901,            0.031903,           0.0058279,           0.0058716,            0.003653,            0.003653,            0.059053
                 149,            0.049381,            0.011255,            0.010224,             0.76134,             0.59877,             0.71102,             0.23885,            0.043246,           0.0061633,           0.0060256,           0.0036674,           0.0036674,            0.058767
                 150,            0.044013,            0.011073,            0.013227,             0.95276,               0.975,             0.97891,             0.59979,            0.021815,           0.0059235,           0.0061238,           0.0036816,           0.0036816,            0.058482
                 151,            0.038624,            0.010757,           0.0077954,             0.88339,              0.9471,             0.96287,             0.55001,            0.031722,           0.0059418,           0.0058965,           0.0036956,           0.0036956,            0.058196
                 152,            0.039329,           0.0097138,           0.0081049,             0.92368,             0.94949,             0.96481,             0.53748,              0.0236,           0.0058535,           0.0059207,           0.0037094,           0.0037094,            0.057909
                 153,            0.035677,            0.010115,            0.010596,             0.85798,               0.875,              0.9339,              0.4868,            0.029485,            0.005796,           0.0058513,            0.003723,            0.003723,            0.057623
                 154,            0.042733,            0.010509,           0.0086435,             0.95988,              0.9244,             0.96992,             0.41387,            0.025189,           0.0057584,           0.0059088,           0.0037365,           0.0037365,            0.057336
                 155,            0.046927,            0.010527,            0.012736,             0.82319,             0.80624,             0.82024,             0.35062,            0.038845,           0.0060191,           0.0061926,           0.0037497,           0.0037497,             0.05705
                 156,            0.046304,            0.010516,            0.012859,             0.94962,             0.99987,             0.99148,             0.61099,            0.025483,            0.005588,           0.0067101,           0.0037628,           0.0037628,            0.056763
                 157,            0.041976,            0.011616,            0.014965,             0.71993,                 0.9,             0.89889,             0.37059,            0.035181,            0.005713,           0.0059189,           0.0037757,           0.0037757,            0.056476
                 158,            0.045319,            0.011033,           0.0098239,             0.94788,             0.92033,             0.96165,             0.56178,            0.027941,           0.0053621,           0.0058133,           0.0037884,           0.0037884,            0.056188
